ICT code,ICT desc,,,,,,
8443310000,MACH PRFM GT=2 FUNCT PRINT/CPY/FAX; USE W/ ATP/NTW,,,,,,
8443325000,"COPY/FAX MACH, ABLE TO CONNECT TO ADP/NETWORK, NES",,,,,,
8443992010,INK CART FOR PRINT OF SUBHD 8443.32.10 USN 2 CH 84,,,,,,
8443992050,PRINT PRT FOR SUBHEAD 8443.32.10 USN 2 CH 84 NESOI,,,,,,
8443992510,"INK CARTRIDGES FOR PRINTERS, NESOI",,,,,,
8443992550,"PARTS AND ACCESSORIES OF PRINTERS, NESOI",,,,,,
8443993000,FACSIMILE MACHINE PARTS SPECIFIED IN U.S. NOTE 7,,,,,,
8443993500,"FACSIMILE MACHINE PARTS, NESOI",,,,,,
8470500020,POINT-OF-SALE TERMINAL TYPE CASH REGISTERS,,,,,,
8471300100,"PORT DGTL ADP MACH,< 10 KG,AT LEAST CPU,KBRD,DSPLY",,,,,,
8471410110,"DIGITAL ADP MCH W CPU & INPUT/OUTPUT UNT, W/ CRT",,,,,,
8471410150,"DGTAL ADP MCH W CPU & INPT/OUTPT UNT,W/O CRT,NESOI",,,,,,
8471490000,"DGTL ADP, NOT IN HOUS W/ CPU OR IN/OUTPT DVC,NESOI",,,,,,
8471500110,"PROC UNT IN HOUS W/ EITHER STOR, IN&OUTPUT,W/ CRT",,,,,,
8471500150,"PROC UNT IN HOUS W/ EITHER STOR, IN&OUTPUT,W/O CRT",,,,,,
8471601010,"COMB INPUT/OUTPUT UNITS W/CRT, NESOI",,,,,,
8471601050,"COMB INPUT/OUTPUT UNITS W/OUT CATHODE RAY TB,NESOI",,,,,,
8471607000,"INPUT/OUTPUT UNITS, NESOI, FOR ADP MACH",,,,,,
8471609030,CARD KEY AND MAGNETIC MEDIA ENTRY DEVICES,,,,,,
8471609050,"ADP INPUT/OUTPUT UNITS, NESOI",,,,,,
8471701000,"MAGNETIC DISK DR,DISK DIAM GT 21CM,W/O RD/WRITE",,,,,,
8471702000,MAGNETIC DISK DRIVE UNITS GT 21 CM(8.3 IN) IN DIAM,,,,,,
8471703000,"MAGNETIC DISK DR UNIT,DISK DIAM GT 21CM,NESOI",,,,,,
8471704035,"FLEX(FLOPPY)MAGNET DISK DRIVE UNT,NO CAB,POWER SUP",,,,,,
8471704065,"HARD DISK DRIVE UNT, NESOI, W/OUT EXTNL POWR SUPLY",,,,,,
8471704095,"DISK DRIVE UNT, NESOI, W/O BASE AND EXTRNL POW SPY",,,,,,
8471705035,"FLEXIBLE (FLOPPY) MAGNETIC DISK DRIVE UNITS,NESOI",,,,,,
8471705065,"HARD MAGNETIC DISK DRIVE UNITS, NESOI",,,,,,
8471705095,"MAGNETIC DISK DRIVE UNITS, NESOI",,,,,,
8471706000,"STORAGE UNITS, NESOI, NOT ASSEMBLED IN CABINETS",,,,,,
8471709000,"OTHER STORAGE UNITS, NESOI",,,,,,
8471801000,CONTROL OR ADAPTER UNITS FOR ADP MACHINES,,,,,,
8471804000,"UNITS,NESOI,FOR INCORPORATION INTO ADP MACHINES",,,,,,
8471809000,"OTHER UNITS, FOR AUTO DATA PROCESSING MACH, NESOI",,,,,,
8471900000,"MACHINES AND UNITS THEREOF FOR PROCESS DATA, NESOI",,,,,,
8473301140,"PTS ADP MCH, NT INCPTG CRT,PRT CT ASM.,MRY MODULES",,,,,,
8473301180,"PTS ADP MCH, NT INCPTNG CRT,PRT CRT ASSEM.;NESOI",,,,,,
8473302000,PRTS&ACCES OF PRINTED CIRCUIT ASSEMBLIES HEAD 8471,,,,,,
8473305100,"PTS & ACCESSORIES OF MACH OF HEADING OF 8471,NESOI",,,,,,
8473309100,OTH PRTS OF ADP MACH AND UNITS INCORPORATING A CRT,,,,,,
8473503000,P C ASSEMB EQUAL SUIT F/USE W/MACH OF HEAD 8469-72,,,,,,
8473506000,PRTS&ACCES OF PRINT CIRC ASSEMBLIES HEAD 8469-8472,,,,,,
8473509000,"PTS & ACCESS = SUIT F/USE W/2 HEAD 8469-8472,NESOI",,,,,,
8504902000,PRINTED CIRCUIT ASSEMB OF PWR SUPS FOR ADP MACHINE,,,,,,
8517120020,RADIO TELEPHONES FOR INSTALLATION IN MOTOR VEHICLE,,,,,,
8517120050,CELLULAR RADIOTELEPHONES FOR PCRS,,,,,,
8517120080,"TELEPHONES FOR CELL/OTHER WIRELESS NETWORKS, NESOI",,,,,,
8517180010,VIDEOPHONES,,,,,,
8517610000,BASE STATIONS,,,,,,
8517620010,MODEMS OF A KIND USED WITH DATA PRCSG MCH OF 8471,,,,,,
8517620050,"MACH FOR RECP/CONVER/ETC OF VOICE/IMAGE/DATA,NESOI",,,,,,
